dataId, x, y, latitude, longitude, zone
8edb8fe4a0e5c52bdc5402a3a0f6b61e, 553693.06328848, 4175730.50440950, 37.72727038, -122.39069560, 10S
8edb8fe4a0e5c52bdc5402a3a0f6b61e, 553689.99203381, 4175712.04495742, 37.72710419, -122.39073181, 10S
8edb8fe4a0e5c52bdc5402a3a0f6b61e, 553689.77194974, 4175696.52222353, 37.72696430, -122.39073546, 10S

7879adf1b94ec9ba143c77b63e50ae41, 553615.09330119, 4176337.69154566, 37.73274741, -122.39153557, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553612.66827004, 4176333.30089916, 37.73270798, -122.39156342, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553612.08624629, 4176324.91922862, 37.73263247, -122.39157064, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553611.34540269, 4176314.13565011, 37.73253532, -122.39157984, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553613.10887179, 4176304.96406028, 37.73245256, -122.39156051, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553616.92374172, 4176294.39651967, 37.73235709, -122.39151799, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553628.25276974, 4176273.37458213, 37.73216696, -122.39139098, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553629.84755461, 4176271.66734253, 37.73215148, -122.39137301, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553636.68504301, 4176267.92016939, 37.73211731, -122.39129569, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553643.93557278, 4176266.02573091, 37.73209981, -122.39121355, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553661.68797184, 4176265.33625365, 37.73209255, -122.39101215, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553666.21585351, 4176265.72771086, 37.73209582, -122.39096074, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553669.19327218, 4176267.30630756, 37.73210987, -122.39092683, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553672.95869170, 4176270.36543819, 37.73213722, -122.39088388, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553675.67386335, 4176274.25228362, 37.73217209, -122.39085278, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553679.65911205, 4176282.04753848, 37.73224211, -122.39080698, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553680.36887084, 4176284.42838794, 37.73226353, -122.39079875, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553681.53279229, 4176308.88194408, 37.73248386, -122.39078373, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553680.00451258, 4176310.89278275, 37.73250207, -122.39080093, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553676.84271232, 4176315.14238012, 37.73254056, -122.39083649, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553666.12902074, 4176324.19234394, 37.73262275, -122.39095741, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553664.39721272, 4176326.24497561, 37.73264135, -122.39097691, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553659.94452891, 4176329.25953988, 37.73266878, -122.39102722, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553652.99704989, 4176332.84455564, 37.73270150, -122.39110579, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553641.15592680, 4176338.18165996, 37.73275030, -122.39123977, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553636.33015605, 4176340.22702486, 37.73276901, -122.39129439, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553629.51589834, 4176341.54608675, 37.73278130, -122.39137162, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553625.39707923, 4176341.64321454, 37.73278242, -122.39141835, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553621.48898869, 4176339.80080882, 37.73276604, -122.39146284, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553618.88099738, 4176336.98722024, 37.73274084, -122.39149264, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553616.77013088, 4176330.37951907, 37.73268141, -122.39151708, 10S
7879adf1b94ec9ba143c77b63e50ae41, 553616.88361392, 4176326.24683852, 37.73264415, -122.39151610, 10S

f475ddc15bb32fda936e159262634568, 554330.75663711, 4173901.49127332, 37.71074821, -122.38359610, 10S
f475ddc15bb32fda936e159262634568, 554330.58326031, 4173897.94374222, 37.71071625, -122.38359833, 10S
f475ddc15bb32fda936e159262634568, 554323.30537808, 4173849.86295309, 37.71028334, -122.38368448, 10S
f475ddc15bb32fda936e159262634568, 554321.19323249, 4173797.64394383, 37.70981282, -122.38371234, 10S
f475ddc15bb32fda936e159262634568, 554321.07081848, 4173782.96700520, 37.70968055, -122.38371483, 10S
f475ddc15bb32fda936e159262634568, 554327.10879353, 4173751.91104547, 37.70940029, -122.38364865, 10S
f475ddc15bb32fda936e159262634568, 554337.52634148, 4173738.52300024, 37.70927900, -122.38353146, 10S
f475ddc15bb32fda936e159262634568, 554384.41826849, 4173704.45595853, 37.70896918, -122.38300204, 10S
f475ddc15bb32fda936e159262634568, 554405.74382232, 4173687.81498973, 37.70881793, -122.38276136, 10S
f475ddc15bb32fda936e159262634568, 554422.58164174, 4173678.96160712, 37.70873714, -122.38257100, 10S
f475ddc15bb32fda936e159262634568, 554438.08914091, 4173673.50677462, 37.70868705, -122.38239548, 10S
f475ddc15bb32fda936e159262634568, 554462.78527143, 4173673.68106145, 37.70868716, -122.38211531, 10S
f475ddc15bb32fda936e159262634568, 554471.59783183, 4173677.13663491, 37.70871778, -122.38201507, 10S
f475ddc15bb32fda936e159262634568, 554493.59686289, 4173689.61246492, 37.70882891, -122.38176457, 10S
f475ddc15bb32fda936e159262634568, 554504.69186973, 4173697.38424960, 37.70889830, -122.38163812, 10S
f475ddc15bb32fda936e159262634568, 554511.33508196, 4173704.10283058, 37.70895846, -122.38156226, 10S
f475ddc15bb32fda936e159262634568, 554532.61954638, 4173736.40312382, 37.70924831, -122.38131837, 10S
f475ddc15bb32fda936e159262634568, 554538.13687768, 4173753.23235724, 37.70939966, -122.38125452, 10S
f475ddc15bb32fda936e159262634568, 554540.12601360, 4173763.06777279, 37.70948818, -122.38123122, 10S
f475ddc15bb32fda936e159262634568, 554539.81887479, 4173781.91120162, 37.70965803, -122.38123329, 10S
f475ddc15bb32fda936e159262634568, 554537.50192889, 4173799.58532355, 37.70981747, -122.38125825, 10S
f475ddc15bb32fda936e159262634568, 554532.06165508, 4173814.23374233, 37.70994981, -122.38131887, 10S
f475ddc15bb32fda936e159262634568, 554526.19204123, 4173824.13629973, 37.71003941, -122.38138472, 10S
f475ddc15bb32fda936e159262634568, 554501.58660581, 4173851.82671477, 37.71029044, -122.38166179, 10S
f475ddc15bb32fda936e159262634568, 554499.06984102, 4173853.09085582, 37.71030199, -122.38169024, 10S
f475ddc15bb32fda936e159262634568, 554484.60243803, 4173864.16701185, 37.71040268, -122.38185354, 10S
f475ddc15bb32fda936e159262634568, 554480.01145482, 4173868.40415812, 37.71044114, -122.38190531, 10S
f475ddc15bb32fda936e159262634568, 554461.01845069, 4173879.51941946, 37.71054245, -122.38211995, 10S
f475ddc15bb32fda936e159262634568, 554437.50117536, 4173890.47274864, 37.71064257, -122.38238593, 10S
f475ddc15bb32fda936e159262634568, 554432.14827661, 4173892.52545693, 37.71066138, -122.38244650, 10S
f475ddc15bb32fda936e159262634568, 554422.97027709, 4173894.86513093, 37.71068302, -122.38255045, 10S
f475ddc15bb32fda936e159262634568, 554415.32839020, 4173899.22012822, 37.71072272, -122.38263682, 10S
f475ddc15bb32fda936e159262634568, 554399.39078150, 4173901.18205957, 37.71074135, -122.38281748, 10S
f475ddc15bb32fda936e159262634568, 554372.22535431, 4173900.84273577, 37.71073990, -122.38312569, 10S
f475ddc15bb32fda936e159262634568, 554357.80543454, 4173896.35488592, 37.71070031, -122.38328962, 10S
f475ddc15bb32fda936e159262634568, 554351.19184486, 4173892.98709773, 37.71067035, -122.38336490, 10S
f475ddc15bb32fda936e159262634568, 554344.59992753, 4173884.07216073, 37.71059039, -122.38344035, 10S
f475ddc15bb32fda936e159262634568, 554333.29962382, 4173873.03102636, 37.71049155, -122.38356937, 10S

1de101a7d80f6d96a0197497abbadf10, 553382.53822352, 4175671.71859426, 37.72675871, -122.39422354, 10S
1de101a7d80f6d96a0197497abbadf10, 553372.25624772, 4175667.65829289, 37.72672272, -122.39434052, 10S
1de101a7d80f6d96a0197497abbadf10, 553369.48230570, 4175662.62689041, 37.72667753, -122.39437236, 10S
1de101a7d80f6d96a0197497abbadf10, 553360.51176741, 4175633.00193287, 37.72641105, -122.39447633, 10S
1de101a7d80f6d96a0197497abbadf10, 553360.85651521, 4175581.23083153, 37.72594443, -122.39447621, 10S
1de101a7d80f6d96a0197497abbadf10, 553366.47517928, 4175545.69782000, 37.72562385, -122.39441506, 10S
1de101a7d80f6d96a0197497abbadf10, 553371.61193903, 4175524.51890337, 37.72543267, -122.39435833, 10S
1de101a7d80f6d96a0197497abbadf10, 553385.09362978, 4175504.38982524, 37.72525046, -122.39420683, 10S
1de101a7d80f6d96a0197497abbadf10, 553391.28794597, 4175498.16199375, 37.72519397, -122.39413700, 10S
1de101a7d80f6d96a0197497abbadf10, 553413.63337586, 4175479.92800068, 37.72502833, -122.39388479, 10S
1de101a7d80f6d96a0197497abbadf10, 553444.48610257, 4175461.81681159, 37.72486329, -122.39353603, 10S
1de101a7d80f6d96a0197497abbadf10, 553480.38057749, 4175446.76886797, 37.72472557, -122.39312985, 10S
1de101a7d80f6d96a0197497abbadf10, 553516.15592075, 4175444.82703298, 37.72470598, -122.39272405, 10S
1de101a7d80f6d96a0197497abbadf10, 553539.76788408, 4175446.95242178, 37.72472376, -122.39245597, 10S
1de101a7d80f6d96a0197497abbadf10, 553561.40278077, 4175457.19337355, 37.72481479, -122.39220972, 10S
1de101a7d80f6d96a0197497abbadf10, 553582.42691168, 4175475.48161615, 37.72497839, -122.39196982, 10S
1de101a7d80f6d96a0197497abbadf10, 553609.47614603, 4175515.32724497, 37.72533593, -122.39165995, 10S
1de101a7d80f6d96a0197497abbadf10, 553621.17918047, 4175544.69807377, 37.72559995, -122.39152499, 10S
