dataId, x, y, latitude, longitude, zone
aae905d58950c4cac2dcd2ad721b2501, 553201.53251527, 4176845.87026126, 37.73735165, -122.39619154, 10S
aae905d58950c4cac2dcd2ad721b2501, 553210.08309708, 4176835.21197649, 37.73725510, -122.39609528, 10S
aae905d58950c4cac2dcd2ad721b2501, 553212.02675367, 4176830.96148277, 37.73721667, -122.39607353, 10S
aae905d58950c4cac2dcd2ad721b2501, 553227.36794811, 4176814.14048854, 37.73706418, -122.39590066, 10S
aae905d58950c4cac2dcd2ad721b2501, 553233.70142524, 4176803.34954157, 37.73696655, -122.39582957, 10S
aae905d58950c4cac2dcd2ad721b2501, 553240.27909475, 4176799.01062688, 37.73692706, -122.39575524, 10S
aae905d58950c4cac2dcd2ad721b2501, 553249.20001305, 4176788.37871080, 37.73683072, -122.39565477, 10S
aae905d58950c4cac2dcd2ad721b2501, 553266.37148252, 4176773.66922192, 37.73669715, -122.39546098, 10S
aae905d58950c4cac2dcd2ad721b2501, 553273.07567361, 4176762.84379961, 37.73659919, -122.39538569, 10S
aae905d58950c4cac2dcd2ad721b2501, 553281.36850678, 4176758.47914857, 37.73655937, -122.39529189, 10S
aae905d58950c4cac2dcd2ad721b2501, 553291.87582539, 4176747.82070085, 37.73646270, -122.39517343, 10S
aae905d58950c4cac2dcd2ad721b2501, 553298.36358897, 4176739.35428252, 37.73638601, -122.39510042, 10S
aae905d58950c4cac2dcd2ad721b2501, 553311.20050269, 4176728.89402714, 37.73629099, -122.39495551, 10S
aae905d58950c4cac2dcd2ad721b2501, 553321.92218465, 4176718.09861402, 37.73619307, -122.39483462, 10S
aae905d58950c4cac2dcd2ad721b2501, 553328.62428957, 4176709.49525499, 37.73611514, -122.39475919, 10S
aae905d58950c4cac2dcd2ad721b2501, 553336.95618349, 4176700.98386168, 37.73603794, -122.39466526, 10S
aae905d58950c4cac2dcd2ad721b2501, 553343.40046806, 4176696.77423102, 37.73599962, -122.39459244, 10S
aae905d58950c4cac2dcd2ad721b2501, 553354.20484195, 4176686.28472671, 37.73590445, -122.39447059, 10S
aae905d58950c4cac2dcd2ad721b2501, 553371.77566896, 4176673.40130136, 37.73578731, -122.39427213, 10S
aae905d58950c4cac2dcd2ad721b2501, 553382.21027030, 4176669.05897638, 37.73574757, -122.39415403, 10S
aae905d58950c4cac2dcd2ad721b2501, 553384.60585231, 4176664.70536442, 37.73570819, -122.39412717, 10S
aae905d58950c4cac2dcd2ad721b2501, 553392.92258716, 4176660.43081397, 37.73566918, -122.39403310, 10S
aae905d58950c4cac2dcd2ad721b2501, 553399.39302897, 4176654.06878979, 37.73561146, -122.39396013, 10S
aae905d58950c4cac2dcd2ad721b2501, 553410.18239009, 4176647.79584483, 37.73555430, -122.39383815, 10S
aae905d58950c4cac2dcd2ad721b2501, 553423.00260694, 4176643.71344827, 37.73551675, -122.39369296, 10S
aae905d58950c4cac2dcd2ad721b2501, 553444.51877875, 4176630.83983637, 37.73539947, -122.39344973, 10S
aae905d58950c4cac2dcd2ad721b2501, 553448.57096208, 4176624.32415160, 37.73534051, -122.39340422, 10S
aae905d58950c4cac2dcd2ad721b2501, 553459.11506973, 4176613.67914013, 37.73524395, -122.39328534, 10S
aae905d58950c4cac2dcd2ad721b2501, 553478.46717248, 4176596.84434182, 37.73509109, -122.39306696, 10S
aae905d58950c4cac2dcd2ad721b2501, 553489.19558683, 4176590.69806523, 37.73503507, -122.39294566, 10S
aae905d58950c4cac2dcd2ad721b2501, 553510.77925549, 4176573.67878904, 37.73488042, -122.39270197, 10S
aae905d58950c4cac2dcd2ad721b2501, 553514.84359345, 4176571.52287470, 37.73486075, -122.39265601, 10S
aae905d58950c4cac2dcd2ad721b2501, 553523.41088471, 4176560.95150491, 37.73476497, -122.39255956, 10S
aae905d58950c4cac2dcd2ad721b2501, 553542.94833396, 4176541.66499359, 37.73459000, -122.39233926, 10S
aae905d58950c4cac2dcd2ad721b2501, 553551.81758078, 4176537.30670880, 37.73455020, -122.39223893, 10S
aae905d58950c4cac2dcd2ad721b2501, 553562.90157628, 4176526.65481638, 37.73445355, -122.39211393, 10S
aae905d58950c4cac2dcd2ad721b2501, 553569.25234853, 4176524.53927946, 37.73443411, -122.39204201, 10S
aae905d58950c4cac2dcd2ad721b2501, 553584.03839266, 4176509.80134153, 37.73430042, -122.39187530, 10S
aae905d58950c4cac2dcd2ad721b2501, 553594.51931887, 4176501.52710473, 37.73422523, -122.39175697, 10S
aae905d58950c4cac2dcd2ad721b2501, 553602.98639563, 4176497.13071357, 37.73418511, -122.39166121, 10S
aae905d58950c4cac2dcd2ad721b2501, 553615.67129970, 4176488.57003400, 37.73410721, -122.39151788, 10S
aae905d58950c4cac2dcd2ad721b2501, 553620.16042511, 4176484.27028077, 37.73406820, -122.39146726, 10S
aae905d58950c4cac2dcd2ad721b2501, 553624.36414949, 4176484.24203776, 37.73406769, -122.39141955, 10S
aae905d58950c4cac2dcd2ad721b2501, 553624.29043375, 4176482.06972264, 37.73404812, -122.39142055, 10S
aae905d58950c4cac2dcd2ad721b2501, 553628.90866189, 4176482.06459207, 37.73404780, -122.39136814, 10S
aae905d58950c4cac2dcd2ad721b2501, 553631.26623608, 4176479.92849928, 37.73402841, -122.39134154, 10S
aae905d58950c4cac2dcd2ad721b2501, 553635.49789246, 4176479.94127520, 37.73402828, -122.39129352, 10S
aae905d58950c4cac2dcd2ad721b2501, 553642.20225446, 4176473.62133198, 37.73397093, -122.39121790, 10S
aae905d58950c4cac2dcd2ad721b2501, 553653.21186460, 4176469.50691361, 37.73393320, -122.39109327, 10S
aae905d58950c4cac2dcd2ad721b2501, 553661.53283071, 4176469.64839043, 37.73393399, -122.39099883, 10S
aae905d58950c4cac2dcd2ad721b2501, 553670.02457333, 4176467.67471987, 37.73391570, -122.39090261, 10S
aae905d58950c4cac2dcd2ad721b2501, 553687.45393711, 4176459.43084049, 37.73384038, -122.39070542, 10S
aae905d58950c4cac2dcd2ad721b2501, 553698.43285175, 4176457.57548940, 37.73382301, -122.39058097, 10S
aae905d58950c4cac2dcd2ad721b2501, 553709.47014624, 4176451.08516743, 37.73376387, -122.39045619, 10S
aae905d58950c4cac2dcd2ad721b2501, 553717.81863281, 4176448.87115456, 37.73374342, -122.39036161, 10S
aae905d58950c4cac2dcd2ad721b2501, 553728.36836133, 4176442.45937720, 37.73368502, -122.39024236, 10S
aae905d58950c4cac2dcd2ad721b2501, 553740.94891395, 4176438.23838702, 37.73364623, -122.39009991, 10S
aae905d58950c4cac2dcd2ad721b2501, 553749.36742190, 4176438.26368425, 37.73364597, -122.39000437, 10S
aae905d58950c4cac2dcd2ad721b2501, 553772.80175481, 4176427.80552214, 37.73355033, -122.38973920, 10S
aae905d58950c4cac2dcd2ad721b2501, 553781.31799059, 4176425.81736600, 37.73353192, -122.38964271, 10S
aae905d58950c4cac2dcd2ad721b2501, 553800.80258234, 4176415.45610769, 37.73343739, -122.38942236, 10S
aae905d58950c4cac2dcd2ad721b2501, 553826.51112977, 4176406.93067917, 37.73335904, -122.38913124, 10S
aae905d58950c4cac2dcd2ad721b2501, 553831.15000562, 4176402.58208474, 37.73331957, -122.38907892, 10S
aae905d58950c4cac2dcd2ad721b2501, 553844.27048550, 4176398.32972236, 37.73328047, -122.38893034, 10S
aae905d58950c4cac2dcd2ad721b2501, 553884.96371728, 4176377.36817708, 37.73308916, -122.38847010, 10S
aae905d58950c4cac2dcd2ad721b2501, 553928.00000744, 4176343.50569452, 37.73278143, -122.38798423, 10S
aae905d58950c4cac2dcd2ad721b2501, 553927.94177702, 4176337.20025350, 37.73272460, -122.38798535, 10S
aae905d58950c4cac2dcd2ad721b2501, 553932.58906647, 4176330.98693500, 37.73266833, -122.38793308, 10S
aae905d58950c4cac2dcd2ad721b2501, 553941.11160752, 4176309.62319580, 37.73247528, -122.38783795, 10S
